id,% массы <Адгезионная добавка>,% массы <Базовый битум>,% массы <Пластификатор>,% массы <Полимер>,% массы <Сшивающая добавка>,Исходная игла при 25С <Базовый битум>,Адгезионная добавка,Пластификатор,Полимер,Базовая пенетрация для расчёта пластификатора,Расчёт рецептуры на глубину проникания иглы при 25
0,0.0,90.4,5.9,3.6,0.1,79,Отсутствует,Plasticizer1,Polymer1,138,75
1,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer2,Polymer2,138,75
2,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer3,Polymer2,138,75
3,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer4,Polymer2,138,75
4,0.3,89.0,7.0,3.6,0.1,79,Adhesion1,Plasticizer4,Polymer2,138,75
5,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer5,Polymer2,138,75
6,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer6,Polymer2,138,75
7,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer7,Polymer2,138,75
8,0.3,87.8,8.2,3.6,0.1,79,Adhesion1,Plasticizer7,Polymer2,138,75
9,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer8,Polymer2,138,75
10,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer9,Polymer2,138,75
11,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer10,Polymer2,138,75
12,0.3,90.1,5.9,3.6,0.1,79,Adhesion1,Plasticizer11,Polymer2,138,75
13,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer12,Polymer1,138,75
14,0.0,88.0,8.3,3.6,0.1,75,Отсутствует,Plasticizer12,Polymer1,138,75
15,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer13,Polymer1,138,75
16,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer14,Polymer1,138,75
17,0.0,93.3,3.0,3.6,0.1,75,Отсутствует,Plasticizer14,Polymer1,138,75
18,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer15,Polymer1,138,75
19,0.0,93.3,3.0,3.6,0.1,75,Отсутствует,Plasticizer15,Polymer1,105,75
20,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer16,Polymer1,138,75
21,0.0,88.0,8.3,3.6,0.1,75,Отсутствует,Plasticizer16,Polymer1,138,75
22,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer17,Polymer1,138,75
23,0.0,88.0,8.3,3.6,0.1,75,Отсутствует,Plasticizer17,Polymer1,138,75
24,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer18,Polymer1,138,75
25,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer19,Polymer1,138,75
26,0.0,89.3,7.0,3.6,0.1,75,Отсутствует,Plasticizer19,Polymer1,138,75
27,0.0,89.3,7.0,3.6,0.1,75,Отсутствует,Plasticizer20,Polymer1,138,75
28,0.0,90.0,6.3,3.6,0.1,75,Отсутствует,Plasticizer20,Polymer1,138,75
29,0.0,89.3,7.0,3.6,0.1,75,Отсутствует,Plasticizer21,Polymer1,138,75
30,0.0,89.3,7.0,3.6,0.1,75,Отсутствует,Plasticizer4,Polymer1,138,75
31,0.0,88.3,8.0,3.6,0.1,75,Отсутствует,Plasticizer4,Polymer1,138,75
32,0.0,93.8,2.5,3.6,0.1,75,Отсутствует,Plasticizer22,Polymer1,138,75
33,0.0,93.3,3.0,3.6,0.1,75,Отсутствует,Plasticizer22,Polymer1,105,75
34,0.0,93.3,3.0,3.6,0.1,75,Отсутствует,Plasticizer23,Polymer1,105,75
35,0.0,93.6,2.2,4.1,0.1,75,Отсутствует,Plasticizer19,Polymer1,97,75
36,0.0,93.95,2.2,3.75,0.1,75,Отсутствует,Plasticizer19,Polymer1,97,75
37,0.35,78.75,17.0,3.8,0.1,75,Adhesion2,Plasticizer19,Polymer1,245,75
38,0.0,89.59,6.6,3.7,0.11,101,Отсутствует,Plasticizer2,Polymer1,141,110
39,0.3,91.49,4.4,3.7,0.11,76,Adhesion2,Plasticizer2,Polymer1,120,75
40,0.0,97.56,0.2,2.2,0.04,88,Отсутствует,Plasticizer2,Polymer2,90,75
41,0.0,94.3,2.0,3.6,0.1,75,Отсутствует,Plasticizer18,Polymer1,95,75
42,0.0,92.22,5.0,2.7,0.08,75,Отсутствует,Plasticizer18,Polymer1,125,75
43,0.0,89.95,6.2,3.75,0.1,73,Отсутствует,Plasticizer24,Polymer2,139,75
44,0.3,89.329,6.5,3.75,0.121,72,Adhesion1,Plasticizer19,Polymer2,102,75
45,0.3,90.242,5.6,3.75,0.108,78,Adhesion3,Plasticizer24,Polymer1,134,75
46,0.3,88.742,7.1,3.75,0.108,66,Adhesion3,Plasticizer19,Polymer2,134,75
47,0.3,89.642,6.2,3.75,0.108,72,Adhesion3,Plasticizer24,Polymer2,134,75
48,0.3,89.142,6.7,3.75,0.108,70,Adhesion1,Plasticizer24,Polymer2,137,75
49,0.3,89.6,6.3,3.7,0.1,74,Adhesion4,Plasticizer24,Polymer1,137,75
