id,"Глубина  проникания иглы при 0 °С, [мм-1]","Глубина  проникания иглы при 25 °С, [мм-1]","Растяжимость  при температуре 0 °С, [см]","Температура размягчения, [°С]","Эластичность при 0 °С, [%]"
0,33.0,71.0,21.0,74.4,73.0
1,32.0,71.0,16.0,72.8,75.0
2,35.0,76.0,27.0,74.0,78.0
3,30.0,65.0,13.0,75.0,75.0
4,32.0,66.0,14.0,75.0,77.0
5,36.0,87.0,41.0,73.0,80.0
6,35.0,75.0,29.0,70.0,72.0
7,23.0,63.0,18.0,77.0,74.0
8,33.0,71.0,23.0,73.0,72.0
9,31.0,71.0,18.0,72.0,75.0
10,26.0,52.0,11.0,75.0,68.0
11,26.0,55.0,11.0,76.0,71.0
12,34.0,69.0,17.0,73.0,75.0
13,26.0,64.0,19.0,74.0,65.0
14,28.0,74.0,19.0,71.0,72.0
15,34.0,75.0,30.0,69.0,71.0
16,48.0,115.0,67.0,65.0,86.0
17,32.0,76.0,27.0,69.0,74.0
18,46.0,113.0,49.0,62.0,82.0
19,30.0,73.0,26.0,70.0,73.0
20,26.0,67.0,17.0,74.0,70.0
21,32.0,82.0,35.0,73.0,73.0
22,32.0,78.0,25.0,71.0,76.0
23,35.0,84.0,33.0,71.0,75.0
24,33.0,75.0,21.0,75.0,79.0
25,30.0,65.0,26.0,73.0,70.0
26,32.0,78.0,22.0,67.0,71.0
27,40.0,91.0,35.0,72.0,77.0
28,38.0,84.0,23.0,71.0,74.0
29,32.0,76.0,25.0,62.0,71.0
30,32.0,82.0,28.0,73.0,70.0
31,32.0,78.0,22.0,73.0,71.0
32,34.0,80.0,36.0,71.0,76.0
33,38.0,87.0,34.0,66.0,77.0
34,38.0,89.0,39.0,68.0,81.0
35,23.0,52.0,16.0,80.0,67.0
36,25.0,55.0,12.0,76.0,70.0
37,55.0,155.0,56.0,71.0,89.0
38,34.0,87.0,,76.8,80.0
39,30.0,58.0,12.0,77.0,66.0
40,,62.0,,63.0,
41,26.0,55.0,12.0,78.0,67.0
42,30.0,70.0,20.0,59.0,92.0
43,34.0,81.0,44.0,77.0,75.0
44,35.0,80.0,37.0,76.0,73.0
45,36.0,73.0,45.0,70.0,73.0
46,30.0,71.0,26.7,76.0,75.0
47,32.0,70.0,26.0,72.0,
48,33.0,74.0,27.0,73.0,77.0
49,34.0,76.0,37.0,77.0,74.0
50,33.0,73.0,29.0,76.0,
51,33.0,73.0,28.0,73.0,
52,32.0,72.0,28.0,74.0,94.0
53,32.0,68.0,21.0,74.0,71.0
54,34.0,73.0,20.0,75.0,72.0
55,32.0,76.0,27.0,75.0,73.0
56,32.0,74.0,20.0,71.0,75.0
57,33.0,77.0,17.0,73.0,70.0
58,32.0,77.0,31.0,72.0,
59,32.0,71.0,21.0,73.0,
60,32.0,75.0,28.0,79.0,78.0
61,33.0,76.0,25.0,70.0,72.0
62,34.0,75.0,28.0,70.0,72.0
63,32.0,90.0,37.0,77.0,81.0
64,32.0,84.0,49.0,77.0,80.0
65,32.0,83.0,45.0,76.0,77.0
66,33.0,78.0,39.0,69.0,74.0
67,,71.0,29.3,72.0,
68,32.0,73.0,15.0,,
69,35.0,73.0,19.0,,
70,,79.0,24.0,76.0,
71,40.0,73.0,57.0,77.0,87.0
72,32.0,,25.0,73.0,74.0
73,34.0,77.0,47.4,74.6,
74,31.0,77.0,28.4,72.0,
75,31.0,70.0,23.0,76.0,
76,32.0,78.0,30.0,73.0,
77,32.0,77.0,43.8,74.0,
78,32.0,78.0,29.0,73.0,
79,32.0,78.0,38.6,73.0,
80,33.0,76.0,47.0,71.0,
81,35.0,76.0,43.0,72.0,
82,31.0,78.0,42.0,79.0,
83,32.0,74.0,29.0,74.0,
84,30.0,73.0,20.0,71.0,
85,32.0,76.0,30.0,74.0,
86,31.0,76.0,35.0,72.0,
87,30.0,71.0,29.0,71.0,
88,32.0,71.0,51.0,74.0,
89,29.0,73.0,38.0,72.0,
90,31.0,76.0,34.4,72.0,
91,33.0,72.0,40.7,73.0,
92,32.0,74.0,31.0,71.0,
93,29.0,73.0,34.6,77.0,
94,32.0,72.0,25.0,73.0,
95,30.0,71.0,27.0,75.0,
96,32.0,68.0,27.5,75.0,
97,32.0,69.0,27.0,75.0,
98,32.0,74.0,44.0,70.0,
99,32.0,74.0,28.0,71.0,
100,37.0,77.0,43.5,72.0,
101,32.0,69.0,23.9,77.0,
102,32.0,73.0,21.0,76.0,
103,34.0,71.0,50.0,74.0,
104,32.0,71.0,24.7,74.0,
105,31.0,72.0,24.0,73.0,
106,32.0,65.0,16.0,75.0,
107,32.0,70.0,19.0,76.0,
