id,"Глубина  проникания иглы при 0 °С, [мм-1]","Глубина  проникания иглы при 25 °С, [мм-1]","Растяжимость  при температуре 0 °С, [см]","Температура размягчения, [°С]","Эластичность при 0 °С, [%]"
0,33.0,71.0,21.0,74.4,73.0
1,32.0,71.0,16.0,72.8,75.0
2,35.0,76.0,27.0,74.0,78.0
3,30.0,65.0,13.0,75.0,75.0
4,32.0,66.0,14.0,75.0,77.0
5,36.0,87.0,41.0,73.0,80.0
6,35.0,75.0,29.0,70.0,72.0
7,23.0,63.0,18.0,77.0,74.0
8,33.0,71.0,23.0,73.0,72.0
9,31.0,71.0,18.0,72.0,75.0
10,26.0,52.0,11.0,75.0,68.0
11,26.0,55.0,11.0,76.0,71.0
12,34.0,69.0,17.0,73.0,75.0
13,26.0,64.0,19.0,74.0,65.0
14,28.0,74.0,19.0,71.0,72.0
15,34.0,75.0,30.0,69.0,71.0
16,48.0,115.0,67.0,65.0,86.0
17,32.0,76.0,27.0,69.0,74.0
18,46.0,113.0,49.0,62.0,82.0
19,30.0,73.0,26.0,70.0,73.0
20,26.0,67.0,17.0,74.0,70.0
21,32.0,82.0,35.0,73.0,73.0
22,32.0,78.0,25.0,71.0,76.0
23,35.0,84.0,33.0,71.0,75.0
24,33.0,75.0,21.0,75.0,79.0
25,30.0,65.0,26.0,73.0,70.0
26,32.0,78.0,22.0,67.0,71.0
27,40.0,91.0,35.0,72.0,77.0
28,38.0,84.0,23.0,71.0,74.0
29,32.0,76.0,25.0,62.0,71.0
30,32.0,82.0,28.0,73.0,70.0
31,32.0,78.0,22.0,73.0,71.0
32,34.0,80.0,36.0,71.0,76.0
33,38.0,87.0,34.0,66.0,77.0
34,38.0,89.0,39.0,68.0,81.0
35,23.0,52.0,16.0,80.0,67.0
36,25.0,55.0,12.0,76.0,70.0
37,55.0,155.0,56.0,71.0,89.0
38,34.0,87.0,29.20283018867924,76.8,80.0
39,30.0,58.0,12.0,77.0,66.0
40,26.0,55.0,12.0,78.0,67.0
41,30.0,70.0,20.0,59.0,92.0
42,34.0,81.0,44.0,77.0,75.0
43,35.0,80.0,37.0,76.0,73.0
44,36.0,73.0,45.0,70.0,73.0
45,30.0,71.0,26.7,76.0,75.0
46,33.0,74.0,27.0,73.0,77.0
47,34.0,76.0,37.0,77.0,74.0
48,32.0,72.0,28.0,74.0,94.0
49,32.0,68.0,21.0,74.0,71.0
50,34.0,73.0,20.0,75.0,72.0
51,32.0,76.0,27.0,75.0,73.0
52,32.0,74.0,20.0,71.0,75.0
53,33.0,77.0,17.0,73.0,70.0
54,32.0,75.0,28.0,79.0,78.0
55,33.0,76.0,25.0,70.0,72.0
56,34.0,75.0,28.0,70.0,72.0
57,32.0,90.0,37.0,77.0,81.0
58,32.0,84.0,49.0,77.0,80.0
59,32.0,83.0,45.0,76.0,77.0
60,33.0,78.0,39.0,69.0,74.0
61,40.0,73.0,57.0,77.0,87.0
62,32.0,75.05607476635514,25.0,73.0,74.0
63,32.56190476190476,62.0,29.20283018867924,63.0,72.55745107334214
64,32.0,70.0,26.0,72.0,77.74845110736811
65,33.0,73.0,29.0,76.0,77.76582760944652
66,33.0,73.0,28.0,73.0,78.05928048955063
67,32.0,77.0,31.0,72.0,75.6089523918189
68,32.0,71.0,21.0,73.0,75.28329530631162
69,32.56190476190476,71.0,29.3,72.0,75.7141945758184
70,32.0,73.0,15.0,72.91132075471698,77.50007021371584
71,35.0,73.0,19.0,72.91132075471698,76.77455381349385
72,32.56190476190476,79.0,24.0,76.0,74.33439011291168
73,34.0,77.0,47.4,74.6,75.42958328937632
74,31.0,77.0,28.4,72.0,75.47336024575418
75,31.0,70.0,23.0,76.0,76.6547803029043
76,32.0,78.0,30.0,73.0,75.07948340464023
77,32.0,77.0,43.8,74.0,79.0411847447999
78,32.0,78.0,29.0,73.0,78.08160663223204
79,32.0,78.0,38.6,73.0,78.85410645264339
80,33.0,76.0,47.0,71.0,78.32542851993098
81,35.0,76.0,43.0,72.0,77.32349553459518
82,31.0,78.0,42.0,79.0,77.13055381994603
83,32.0,74.0,29.0,74.0,77.07703124005994
84,30.0,73.0,20.0,71.0,78.18729384404473
85,32.0,76.0,30.0,74.0,75.57615489148199
86,31.0,76.0,35.0,72.0,77.6672870449662
87,30.0,71.0,29.0,71.0,77.80636571661991
88,32.0,71.0,51.0,74.0,78.33531924465788
89,29.0,73.0,38.0,72.0,78.7989057924478
90,31.0,76.0,34.4,72.0,77.41098622289944
91,33.0,72.0,40.7,73.0,75.84983143755612
92,32.0,74.0,31.0,71.0,77.02073632548759
93,29.0,73.0,34.6,77.0,74.81197286990685
94,32.0,72.0,25.0,73.0,74.03265729546041
95,30.0,71.0,27.0,75.0,76.12255470862583
96,32.0,68.0,27.5,75.0,74.23766706892218
97,32.0,69.0,27.0,75.0,77.23539160880148
98,32.0,74.0,44.0,70.0,74.52658975629228
99,32.0,74.0,28.0,71.0,78.58943595220788
100,37.0,77.0,43.5,72.0,79.68775877584395
101,32.0,69.0,23.9,77.0,73.77037572951643
102,32.0,73.0,21.0,76.0,79.03168223988544
103,34.0,71.0,50.0,74.0,76.65076238113667
104,32.0,71.0,24.7,74.0,76.44820206634843
105,31.0,72.0,24.0,73.0,74.31421346920055
106,32.0,65.0,16.0,75.0,75.39953638732692
107,32.0,70.0,19.0,76.0,73.85961503290184
